OBJECTID,SOG,COG,Heading,ROT,BaseDateTime,Status,VoyageID,MMSI,ReceiverType,ReceiverID,MIKE_UTM_Y,MIKE_UTM_X,lat,lon
130,29,42,511,128,7/16/2011 14:10:00,0,520,366925440,r,01SPTW1,4653036.222478477300000,403135.527116874230000,42.023398000000014,-70.170032000000006
131,28,347,511,128,7/16/2011 14:11:00,0,520,366925440,r,01SPTW1,4654262.403428897300000,403857.251088335180000,42.034527999999995,-70.161516999999989
132,29,296,511,128,7/16/2011 14:12:00,0,520,366925440,r,01SPTW1,4654859.532624935700000,403262.035076102240000,42.039831999999997,-70.168804999999992
133,27,302,511,128,7/16/2011 14:13:00,0,520,366925440,r,01SPTW1,4655296.337134754300000,402490.549226412550000,42.043670000000006,-70.178196999999983
134,8,349,511,128,7/16/2011 14:14:00,0,520,366925440,r,01SPTW1,4655571.251321755300000,402204.621970456090000,42.046110000000006,-70.181697000000000
135,8,343,511,128,7/16/2011 14:15:00,0,520,366925440,r,01SPTW1,4655833.334724761500000,402228.935773867180000,42.048473000000008,-70.181446999999977
136,0,306,511,128,7/16/2011 14:16:00,0,520,366925440,r,01SPTW1,4655904.919011727000000,402192.015170467090000,42.049113000000006,-70.181905000000000
137,0,104,511,128,7/16/2011 14:17:00,0,520,366925440,r,01SPTW1,4655904.600780734800000,402190.934742892160000,42.049110000000020,-70.181917999999968
138,0,217,511,128,7/16/2011 14:17:00,0,520,366925440,r,01SPTW1,4655903.173370624000000,402189.756216636860000,42.049097000000025,-70.181931999999989
139,0,229,511,128,7/16/2011 14:18:00,0,520,366925440,r,01SPTW1,4655902.738389900000000,402189.088033281270000,42.049093000000028,-70.181939999999983
140,0,346,511,128,7/16/2011 14:19:00,0,520,366925440,r,01SPTW1,4655903.512185216000000,402189.347040630880000,42.049100000000003,-70.181936999999991
141,0,236,511,128,7/16/2011 14:20:00,0,520,366925440,r,01SPTW1,4655903.517902990800000,402188.933261781000000,42.049100000000031,-70.181942000000006
142,0,322,511,128,7/16/2011 14:21:00,0,520,366925440,r,01SPTW1,4655904.844572611200000,402189.365452086550000,42.049112000000022,-70.181936999999991
143,0,233,511,128,7/16/2011 14:22:00,0,520,366925440,r,01SPTW1,4655902.413297958700000,402188.504139925350000,42.049090000000021,-70.181946999999994
144,0,238,511,128,7/16/2011 14:23:00,0,520,366925440,r,01SPTW1,4655900.427296111400000,402187.566208654080000,42.049072000000017,-70.181957999999980
145,0,272,511,128,7/16/2011 14:24:00,0,520,366925440,r,01SPTW1,4655900.969878288000000,402188.484194022600000,42.049077000000011,-70.181946999999980
